                            word1                                              word2          Tag    average distance count
                           sql                                             server        skill  			      1.2    27
                    experience                                        development  requirement  			      2.8    26
                   development                                         experience  requirement  			      2.8    26
                   development                                                sql        skill                    2.88   25
                           sql                                        development        skill                    2.88   25
                          data                                         experience  requirement  			      2.9    24
                    experience                                               data  requirement  			      2.9    24
                        oracle                                         experience  requirement  			      2.6    19
                      database                                         experience  requirement  			      2.3    19
                    experience                                             oracle  requirement  			      2.6    19
                    experience                                           database  requirement  			      2.3    19
                        oracle                                                sql        skill  			      2.4    18
                           sql                                             oracle        skill  			      2.4    18
                           sql                                           database        skill                    2.75   16
                      database                                                sql        skill                    2.75   16
                        stored                                         procedures        skill                    1.0    16
                      database                                        development        skill  			      1.7    14
                   development                                           database        skill  			      1.7    14
                      computer                                            science        skill                    1.0    13
                          data                                           modeling        skill                    1.4    12
                   performance                                             tuning        skill                    1.0    12
                        pl/sql                                             oracle        skill  			      2.5    11
                     extensive                                         experience  requirement  			      1.0    11
                      database                                        performance        skill  			      3.5    11
                         years                                        development  requirement  			      3.4    11
                      database                                         relational        skill  			      1.2    11
                    relational                                           database        skill  			      1.2    11
                        oracle                                             pl/sql        skill  			      2.5    11
                   performance                                           database        other  			      3.5    11
                        degree                                           computer  requirement  			      2.6    11
                      database                                             design        skill  			      1.8    11
                        design                                           database        skill  			      1.8    11
                        design                                               data        other                    3.5    10
                        oracle                                              years  requirement                    3.9    10
                     including                                           database        other                    3.7    10
                      database                                          including        other                    3.7    10
                         shell                                          scripting        skill                    1.0    10
                         years                                             oracle  requirement                    3.9    10
                          data                                             design        other                    3.5    10
                          data                                        development        other                    3.1    10
                   development                                               data        other                    3.1    10
                        degree                                            science  requirement   			      3.1     9
                            pl                                                sql        skill  				  1.33    9
                           sql                                          developer        skill                    1.0     9
                           sql                                        performance        skill  				  3.6     9
                        pl/sql                                         procedures        skill  				  2.5     9
                      triggers                                         procedures        skill  				  1.8     9
                    experience                                             server  requirement  				  3.6     9
                   performance                                                sql        skill  				  3.6     9
                    procedures                                             pl/sql        skill  				  2.5     9
                   development                                             design        other  				  2.1     9
                           sql                                                 pl        skill  				  1.3     9
                           etl                                               data        skill  				  3.5     9
                          data                                                etl        skill  				  3.5     9
                        design                                        development        other  				  2.1     9
                    procedures                                           triggers        skill  				  1.8     9
                       analyze                                       requirements        skill                    3.6     8
                        server                                           services        other                    3.2     8
                           sql                                            queries        skill                    1.7     8
                       sources                                               data        other                    2.3     8
                       minimum                                              years  requirement                    2.0     8
                    experience                                             pl/sql  requirement                    2.7     8
                 communication                                             skills        skill                    1.3     8
                   programming                                         experience  requirement                    2.8     8
                  requirements                                            analyze        skill                    3.6     8
                      services                                          reporting        skill                    3.1     8
                          data                                            sources        other                    2.3     8
                    experience                                        programming  requirement                    2.8     8
                         years                                               data  requirement                    3.3     8
                           sql                                             tuning        skill                    2.5     8
                        tuning                                                sql        skill                    2.5     8
                     reporting                                           services        other                    3.1     8
                        pl/sql                                         experience  requirement                    2.75    8
                    procedures                                            queries        skill                    2.2     7
                           sql                                             pl/sql        skill                    3.2     7
                    procedures                                           database        skill                    3.7     7
                           sql                                                 ms        skill                    1.5     7
                            ms                                                sql        skill                    1.5     7
                      database                                         procedures        skill                    3.7     7
                       complex                                                sql        skill                    1.7     7
                   development                                          reporting        other                    3.2     7
                        pl/sql                                                sql        skill                    3.2     7
                       complex                                            queries        skill                    1.7     7
                         years                                           database  requirement                    2.5     7
                       queries                                         procedures        skill                    2.2     7
                          2018                                                  –        other                    1.0     7
                    bachelor's                                             degree  requirement                    1.1     7
                     reporting                                        development        other                    3.2     7
                           sql                                            complex        skill                    1.7     7
                    procedures                                          functions        skill                    1.0     6
                        oracle                                                 pl        skill                    1.3     6
                        tuning                                            analyze        skill                    2.8     6
                   performance                                            analyze        skill                    3.5     6
                   development                                             oracle        other                    2.6     6
                        server                                           database        other                    1.6     6
                        oracle                                           database        skill                    3.3     6
                   engineering                                           computer  requirement                    3.0     6
                        oracle                                        development        other                    2.6     6
                      database                                         management        skill                    2.6     6
                          unix                                              shell        skill                    1.0     6
                      database                                            queries        skill                    3.1     6
                           sql                                          microsoft        skill                    1.8     6
                        oracle                                        performance        other                    3.0     6
                         years                                                 pl  requirement                    3.6     6
                            pl                                              years  requirement                    3.6     6
                   performance                                         experience  requirement                    3.8     6
                       analyze                                             tuning        skill                    2.8     6
                       analyze                                        performance        skill                    3.5     6
                             3                                              years  requirement                    1.0     6
                        server                                              years  requirement                    3.3     6
                    experience                                          including  requirement                    3.1     6
                   development                                             server        other                    3.1     6
                      database                                             server        other                    1.6     6
                   performance                                             oracle        other                    3.0     6
                      software                                        development  requirement                    1.3     6
                       develop                                               data        other                    3.0     6
                      computer                                        engineering  requirement                    3.0     6
                       develop                                                sql        skill                    2.3     6
                       develop                                          solutions        other                    3.1     6
                       queries                                           database        skill                    3.1     6
                   development                                           software        other                    1.3     6
                         years                                             server  requirement                    3.3     6
                        server                                        development        other                    3.1     6
                         years                                             pl/sql  requirement                    3.8     6
                    experience                                        performance  requirement                    3.8     6
                     microsoft                                                sql        skill                    1.8     6
                       analyze                                          solutions        skill                    2.6     5
                          ssis                                               ssrs        skill                    1.0     5
                           sql                                        programming        skill                    3.4     5
                            2+                                              years  requirement                    2.4     5
                          unix                                         experience  requirement                    3.8     5
                          unix                                          scripting        skill                    2.0     5
                        tuning                                         experience  requirement                    3.6     5
                         least                                         experience  requirement                    3.2     5
                     expertise                                                sql        skill                    1.8     5
                      database                                           concepts        skill                    1.8     5
                      multiple                                            sources        other                    1.8     5
                          data                                           multiple        other                    2.6     5
                        design                                            develop        other                    2.0     5
                          ssis                                        development        other                    1.6     5
                     technical                                      documentation        skill                    3.4     5
                        design                                     implementation        other                    1.6     5
                  availability                                        performance        other                    2.4     5
                   performance                                             issues        other                    3.0     5
                          data                                            quality        other                    1.0     5
                 documentation                                          technical        other                    3.4     5
                   development                                               ssis        other                    1.6     5
                    experience                                              agile  requirement                    1.2     5
                    experience                                              excel  requirement                    3.0     5
                    experience                                           creating  requirement                    1.2     5
                    experience                                                web  requirement                    3.4     5
                            ms                                             server        other                    2.0     5
                   programming                                                sql        skill                    3.4     5
                     reporting                                             server        other                    3.0     5
                       writing                                             stored        other                    1.8     5
                       writing                                         procedures        skill                    3.4     5
                          ssrs                                               ssis        skill                    1.0     5
                       minimum                                         experience  requirement                    3.0     5
                        issues                                        performance        other                    3.0     5
                            pl                                         experience  requirement                    3.8     5
                         seven                                              years  requirement                    1.2     5
                      security                                        performance        other                    2.8     5
                          data                                             tables        other                    3.8     5
                      computer                                              field        other                    3.8     5
                       science                                        engineering  requirement                    2.4     5
                       science                                              field        other                    3.2     5
                            2+                                         experience  requirement                    2.8     5
                   engineering                                            science  requirement                    2.4     5
                         field                                           computer        other                    3.8     5
                         field                                            science        other                    3.2     5
                   development                                                etl        skill                    1.0     5
                    procedures                                            complex        skill                    3.4     5
                       complex                                           database        other                    2.6     5
                   performance                                       availability        other                    2.4     5
                   performance                                           security        other                    2.8     5
                    relational                                          databases        other                    2.6     5
                        tables                                              views        skill                    1.2     5
                     solutions                                            analyze        skill                    2.6     5
                      database                                            complex        other                    2.6     5
                       complex                                         procedures        skill                    3.4     5
                    bachelor's                                           computer  requirement                    3.2     5
                           web                                         experience  requirement                    3.4     5
                    experience                                                 pl  requirement                    3.8     5
                    enterprise                                               data        other                    1.8     5
                    experience                                         equivalent  requirement                    2.0     5
                    experience                                                 2+  requirement                    2.8     5
                            8+                                              years  requirement                    1.0     5
                           etl                                        development        skill                    1.0     5
                            8+                                         experience  requirement                    2.8     5
                          data                                         enterprise        other                    1.8     5
                       queries                                             stored        skill                    1.2     5
                    experience                                               unix  requirement                    3.8     5
                    equivalent                                         experience  requirement                    2.0     5
                            3+                                              years  requirement                    1.0     5
                    experience                                             tuning  requirement                    3.6     5
                            3+                                         experience  requirement                    2.4     5
                         years                                                 2+  requirement                    2.4     5
                    experience                                          microsoft  requirement                    2.4     5
                    experience                                         relational  requirement                    1.2     5
                        oracle                                                11g        skill                    2.2     5
                         years                                         experience  requirement                    1.5    42
                       support                                        performance        other                    3.5     4
                  requirements                                          translate        other                    1.0     4
                           sql                                            reports        skill                    2.5     4
                             6                                              years  requirement                   1.25     4
                         power                                                 bi        skill                   1.75     4
                    javascript                                               html        skill                   2.75     4
                    experience                                              hands  requirement                    1.5     4
                      modeling                                         experience  requirement                   1.75     4
                           sql                                          databases        skill                   1.25     4
                     functions                                           triggers        skill                    2.0     4
                           sql                                              build        skill                   3.75     4
                       testing                                         validation        skill                    1.5     4
                    experience                                       technologies  requirement                    2.5     4
                    experience                                           platform  requirement                    2.5     4
                    experience                                               plus  requirement                    3.5     4
                            bi                                              power        skill                   1.75     4
                          java                                         experience  requirement                   1.75     4
                       provide                                            support        other                   2.25     4
                   application                                           database        other                   1.75     4
                            5+                                         experience  requirement                    2.5     4
                          html                                                css        skill                    1.0     4
                          html                                         javascript        skill                   2.75     4
                           sql                                                etl        skill                    3.0     4
                      database                                                 ms        other                   3.25     4
                   performance                                          including        other                   3.25     4
                    validation                                            testing        skill                    1.5     4
                      database                                     administration        skill                   1.25     4
                    equivalent                                             degree  requirement                    3.5     4
                        oracle                                             tuning        skill                   3.25     4
                      database                                             issues        other                    2.0     4
                    experience                                          designing  requirement                   1.75     4
                     candidate                                             should        other                    1.0     4
                        should                                               able        other                    1.0     4
                    procedures                                           packages        other                    2.5     4
                     including                                        performance        other                   3.25     4
                        system                                             design        other                   3.25     4
                     utilizing                                                sql        skill                    1.0     4
                       problem                                            solving        skill                    1.0     4
                      packages                                         procedures        other                    2.5     4
                         build                                                sql        skill                   3.75     4
                    experience                                               java  requirement                   1.75     4
                     databases                                                sql        skill                   1.25     4
                     databases                                       applications        other                    3.0     4
                    experience                                           modeling  requirement                   1.75     4
                           sql                                            analyze        skill                   3.75     4
                  requirements                                            develop        other                   2.25     4
                      computer                                         equivalent        other                   3.25     4
                       science                                         equivalent        other                   2.75     4
                     designing                                         developing        other                   1.25     4
                    production                                            support        other                    2.5     4
                          life                                              cycle        other                    1.0     4
                    relational                                             design        other                   2.25     4
                    experience                                            quality  requirement                   2.75     4
                    experience                                         developing  requirement                   2.25     4
                         hands                                         experience  requirement                    1.5     4
                    management                                               data        other                   1.25     4
                  requirements                                          solutions        other                   2.75     4
                          good                                         experience  requirement                   2.75     4
                          data                                          solutions        other                   2.25     4
                          data                                         management        other                   1.25     4
                       develop                                       requirements        other                   2.25     4
                    relational                                           concepts        other                    3.0     4
                        tables                                           database        other                   1.75     4
                       support                                           security        other                    2.5     4
                    dashboards                                            reports        skill                    2.5     4
                  applications                                          databases        other                    3.0     4
                       reports                                         dashboards        other                    2.5     4
                   development                                           projects        other                   2.25     4
                        degree                                         equivalent  requirement                    3.5     4
                         seven                                         experience  requirement                    2.5     4
                       reports                                                sql        skill                    2.5     4
                      database                                        application        other                   1.75     4
                           css                                               html        skill                    1.0     4
                          data                                            logical        other                    3.0     4
                     microsoft                                             server        other                   2.75     4
                      projects                                            analyze        skill                   3.75     4
                       logical                                           physical        other                    1.0     4
                     solutions                                               data        other                   2.25     4
                       logical                                               data        other                    3.0     4
                     translate                                       requirements        other                    1.0     4
                        pl/sql                                           triggers        skill                   2.25     4
                         t-sql                                               ssis        skill                    2.0     4
                           use                                             oracle        other                    3.5     4
                      security                                            support        other                    2.5     4
                        design                                             system        other                   3.25     4
                        pl/sql                                             stored        other                    3.0     4
                         shell                                            scripts        skill                    1.0     4
                            ms                                           database        other                   3.25     4
                        stored                                           triggers        other                    3.0     4
                        server                                         management        other                    3.0     4
                      triggers                                             stored        skill                    3.0     4
                    experience                                        application  requirement                   3.75     4
                      triggers                                             pl/sql        skill                   2.25     4
                      triggers                                          functions        skill                    2.0     4
                            at                                                sql        skill                    2.0     4
                        stored                                             pl/sql        other                    3.0     4
                        issues                                           database        other                    2.0     4
                        design                                         relational        other                   2.25     4
                        stored                                          functions        other                    2.0     4
                      database                                             tables        other                   1.75     4
                   development                                        experience,        other                    1.0     4
                   application                                         experience  requirement                   3.75     4
                       minimum                                                  3        other                    1.0     4
                        gather                                       requirements        other                    1.5     4
                       support                                         production        other                    2.5     4
                           sql                                         experience  requirement                    3.0    31
                    experience                                                sql  requirement                    3.0    31
                    javascript                                                css        skill                    2.3     3
                    experience                                             aspnet  requirement                    2.0     3
                      document                                               data        other                    1.0     3
                    experience                                      methodologies  requirement                    1.6     3
                      projects                                            complex        other                    2.0     3
                    experience                                              nosql  requirement                    3.6     3
                            5+                                             years'        other                    1.0     3
                       complex                                            analyze        skill                    2.6     3
                       support                                         activities        other                    2.6     3
                      develops                                         procedures        other                    3.6     3
                    experience                                                 ms  requirement                    2.0     3
                    experience                                          reporting  requirement                    2.3     3
                          sql                                             server        other                     2.3     3
                          data                                           security        other                    3.6     3
                  technologies                                          microsoft        other                    2.0     3
                        stored                                            scripts        other                    1.6     3
                         third                                              party        other                    1.0     3
                        oracle                                         procedures        skill                    2.6     3
                             6                                         experience  requirement                    2.6     3
                           sql                                               toad        skill                    1.3     3
                    procedures                                            scripts        other                    2.0     3
                   performance                                       optimization        other                    1.3     3
                      relevant                                         experience  requirement                    1.0     3
                         cloud                                       technologies        skill                    1.3     3
                          data                                          profiling        other                    2.3     3
                        design                                       applications        other                    3.3     3
                          toad                                                sql        skill                    1.3     3
                      database                                          expertise        other                    2.6     3
                        senior                                             oracle        other                    1.0     3
                          unit                                            testing        skill                    1.0     3
                      postgres                                                sql        skill                    1.0     3
                   programming                                              t-sql        skill                    2.0     3
                  optimization                                        performance        other                    1.3     3
                       support                                        development        other                    1.6     3
                      services                                        integration        other                    2.0     3
                     microsoft                                       technologies        other                    2.0     3
                         write                                               code        skill                    2.3     3
                      industry                                           analysts        other                    1.0     3
                       analyze                                            complex        skill                    2.6     3
                       honoree                                               5000        other                    1.6     3
                   integration                                           services        other                    2.0     3
                        server                                               sql         other  			      2.3     3
                        senior                                          developer        other                    3.6     3
                    experience                                              t-sql  requirement                    1.6     3
                       quality                                               good        other                    1.6     3
                       quality                                               code        other                    3.3     3
                         t-sql                                         experience  requirement                    1.6     3
                          data                                           document        other                    1.0     3
                          unix                                             pl/sql        skill                    2.3     3
                            2+                                                sql        skill                    3.0     3
                            2+                                                 pl        other  			      2.6     3
                        versed                                             stored        other  			      2.3     3
                        versed                                         procedures        other  			      3.3     3
               troubleshooting                                        performance        other                    1.0     3
                    management                                         activities        other                    3.0     3
                          data                                             report        other  			      1.6     3
               troubleshooting                                           database        skill  			      3.6     3
                           sql                                            writing        skill  			      2.3     3
                    experience                                         delivering  requirement  			      1.3     3
                       queries                                           triggers        skill  			      3.6     3
                   development                                              cycle        other                    2.0     3
                      database                                          integrity        other  			      2.6     3
                        server                                        performance        other  			      1.3     3
                           sql                                           postgres        skill                    1.0     3
                    experience                                     administration  requirement  			      3.6     3
                     expertise                                           database        other  			      2.6     3
                       control                                            version        other                    1.0     3
                   development                                               life        other                    1.0     3
                          full                                        development        other                    3.0     3
                      packages                                           triggers        other  			      2.3     3
                      packages                                             stored        other  			      2.6     3
                      triggers                                           packages        other  			      2.3     3
                     functions                                              views        other  			      2.3     3
                        stored                                           packages        other  			      2.6     3
                      database                                    troubleshooting        other  			      3.6     3
                    relational                                              nosql        other                    3.0     3
                  requirements                                              needs        other  			      2.3     3
                       version                                            control        skill                    1.0     3
                          good                                            quality        other  			      1.6     3
                        pl/sql                                        development        other  			      1.3     3
                        design                                         management        other                    3.0     3
                           css                                         javascript        skill                    2.3     3
                     resolving                                             issues        other                    2.0     3
                     including                                       requirements        other                    3.0     3
                   development                                            service        other  			      2.3     3
                           sql                                            tableau        skill  			      3.3     3
                      multiple                                              tasks        other                    1.0     3
                    production                                            systems        other                    1.0     3
                   development                                         management        other  			      3.3     3
                        design                                           security        other  			      3.6     3
                         nosql                                          databases        skill  			      1.3     3
                   engineering                                              field  requirement  			      1.6     3
                         least                                              years  requirement                    2.0     3
                        system                                     specifications        other                    1.0     3
                       testing                                            analyze        skill  			      3.6     3
                      database                                              other        other  			      3.3     3
                   enhancement                                           existing        other  			      3.6     3
                         other                                           database        other  			      3.3     3
                         learn                                       technologies        other  			      2.6     3
                    experience                                          solutions  requirement                    3.0     3
                   programming                                           language        skill                    1.0     3
                         needs                                       requirements        other  			      2.3     3
                        system                                               data        other  			      2.6     3
                       analyze                                            testing        skill  			      3.6     3
                  requirements                                     specifications        other  			      3.6     3
                      document                                       requirements        other  			      1.6     3
                       analyze                                             system        skill                    3.0     3
                     including                                             tables        other  			      2.6     3
                       complex                                           projects        other                    2.0     3
                             3                                         experience  requirement  			      2.3     3
                        report                                               data        other  			      1.6     3
                          full                                              cycle        other  			      3.3     3
                         field                                        engineering  requirement  			      1.6     3
                       science                                         experience  requirement  			      3.6     3
                     designing                                       applications        other                    3.0     3
                    developing                                       applications        other  	              3.3     3
                        degree                                             field,  requirement  	              3.6     3
                     reporting                                         experience  requirement  	              2.3     3
                      computer                                              years  requirement  	              2.6     3
                            6+                                              years  requirement                    1.0     3
                    experience                                            writing  requirement                    2.3     3
                       writing                                                sql        skill                    2.3     3
                       science                                        information        other                    1.6     3
                      computer                                        information        other                    2.6     3
                   development                                        integration        other                    2.6     3
                       subject                                             matter        other                    1.0     3
                      database                                          microsoft        other                    3.0     3
                          data                                             driven        other                    1.0     3
                    bachelor’s                                           computer        other                    3.6     3
                    bachelor’s                                             degree  requirement                    1.3     3
                       logical                                             models        other                    2.6     3
                   development                                               team        other                    1.0     3
                          data                                         developers        other                    3.3     3
                         other                                         developers        other                    2.0     3
                      security                                             design        other                    3.6     3
                      security                                               data        skill                    3.6     3
                       scripts                                         procedures        other                    2.0     3
                       scripts                                             stored        other                    1.6     3
                       science                                               data        other                    2.3     3
                           sql                                          solutions        skill                    2.3     3
                         linux                                              shell        other                    2.6     3
                   communicate                                        effectively        other                    1.0     3
                        tables                                            indexes        skill                    1.3     3
                      triggers                                            queries        skill                    3.6     3
                        oracle                                               apex        other                    2.0     3
                          5000                                            honoree        other                    1.6     3
                           inc                                                500        other                    1.0     3
                       tableau                                                sql        skill                    3.3     3
                      database                                             coding        other                    3.3     3
                    management                                             design        other                    3.0     3
                          data                                            between        other                    2.3     3
                        design                                              build        other                    1.0     3
                       reports                                              build        other                    1.6     3
                      automate                                              build        other                    3.3     3
                           sql                                           creating        skill                    3.3     3
                   development                                        performance        other                    3.6     3
                      creating                                                sql        skill                    3.3     3
                        server                                          including        other                    3.3     3
                     microsoft                                           database        other                    3.0     3
                           sql                                                 2+        skill                    3.0     3
                         views                                          functions        other                    2.3     3
                      evaluate                                        information        other                    3.0     3
                     solutions                                                sql        skill                    2.3     3
                            pl                                                 2+        other                    2.6     3
                          data                                           analyses        other                    2.3     3
                        legacy                                            systems        other                    2.0     3
                       support                                       applications        other                    3.3     3
                        ensure                                        performance        other                    3.3     3
                   development                                            support        other                    1.6     3
                         batch                                        programming        other                    1.0     3
                implementation                                        performance        other                    3.6     3
                          data                                            science        other                    2.3     3
                          data                                      visualization        skill                    2.3     3
                    management                                             studio        other                    1.0     3
                     integrity                                           database        other                    2.6     3
                        oracle                                                etl        skill                    2.3     3
                        server                                             studio        other                    2.6     3
                        oracle                                               data        other                    2.3     3
                           sql                                             studio        skill                    3.6     3
                        server                                               2012        other                    1.0     3
                           sql                                               2012        skill                    2.0     3
                         nosql                                         relational        other                    3.0     3
                       complex                                             stored        other                    2.6     3
